10002:	   Output Transition Time: -115.761
12767:	   Output Transition Time: -115.761
15690:	   Output Transition Time: -115.761
16006:	   Output Transition Time: -115.761
19166:	   Output Transition Time: -115.761
33939:	   Output Transition Time: -115.761
34966:	   Output Transition Time: -115.761
35045:	   Output Transition Time: -115.761
35756:	   Output Transition Time: -115.761
37494:	   Output Transition Time: -115.761
10476:	   Output Transition Time: -108.926
11819:	   Output Transition Time: -108.926
2655: 	   Output Transition Time: -108.926
34887:	   Output Transition Time: -108.926
38363:	   Output Transition Time: -108.926
7632: 	   Output Transition Time: -108.926
11108:	   Output Transition Time: -107.857
14268:	   Output Transition Time: -107.857
14505:	   Output Transition Time: -107.857
15216:	   Output Transition Time: -107.857
1549: 	   Output Transition Time: -107.857
16164:	   Output Transition Time: -107.857
17744:	   Output Transition Time: -107.857
19245:	   Output Transition Time: -107.857
19640:	   Output Transition Time: -107.857
2023: 	   Output Transition Time: -107.857
206:  	   Output Transition Time: -107.857
20746:	   Output Transition Time: -107.857
23906:	   Output Transition Time: -107.857
25012:	   Output Transition Time: -107.857
25565:	   Output Transition Time: -107.857
27619:	   Output Transition Time: -107.857
27935:	   Output Transition Time: -107.857
28725:	   Output Transition Time: -107.857
30147:	   Output Transition Time: -107.857
30779:	   Output Transition Time: -107.857
3287: 	   Output Transition Time: -107.857
33228:	   Output Transition Time: -107.857
34808:	   Output Transition Time: -107.857
35282:	   Output Transition Time: -107.857
36388:	   Output Transition Time: -107.857
37099:	   Output Transition Time: -107.857
38284:	   Output Transition Time: -107.857
39311:	   Output Transition Time: -107.857
4867: 	   Output Transition Time: -107.857
10012:	   Output Transition Time: 0
10048:	   Output Transition Time: 0
10059:	   Output Transition Time: 0
1006: 	   Output Transition Time: 0
10070:	   Output Transition Time: 0
10081:	   Output Transition Time: 0
10091:	   Output Transition Time: 0
10138:	   Output Transition Time: 0
10160:	   Output Transition Time: 0
10170:	   Output Transition Time: 0
1017: 	   Output Transition Time: 0
10228:	   Output Transition Time: 0
10285:	   Output Transition Time: 0
1028: 	   Output Transition Time: 0
10296:	   Output Transition Time: 0
10328:	   Output Transition Time: 0
10339:	   Output Transition Time: 0
10350:	   Output Transition Time: 0
10375:	   Output Transition Time: 0
10386:	   Output Transition Time: 0
10397:	   Output Transition Time: 0
10407:	   Output Transition Time: 0
10418:	   Output Transition Time: 0
10429:	   Output Transition Time: 0
10454:	   Output Transition Time: 0
10465:	   Output Transition Time: 0
10486:	   Output Transition Time: 0
10497:	   Output Transition Time: 0
10508:	   Output Transition Time: 0
10522:	   Output Transition Time: 0
10576:	   Output Transition Time: 0
105:  	   Output Transition Time: 0
10612:	   Output Transition Time: 0
10623:	   Output Transition Time: 0
10644:	   Output Transition Time: 0
1064: 	   Output Transition Time: 0
10691:	   Output Transition Time: 0
10723:	   Output Transition Time: 0
10759:	   Output Transition Time: 0
10770:	   Output Transition Time: 0
10802:	   Output Transition Time: 0
10813:	   Output Transition Time: 0
10824:	   Output Transition Time: 0
10838:	   Output Transition Time: 0
10849:	   Output Transition Time: 0
10871:	   Output Transition Time: 0
10881:	   Output Transition Time: 0
10892:	   Output Transition Time: 0
10903:	   Output Transition Time: 0
10917:	   Output Transition Time: 0
10928:	   Output Transition Time: 0
10960:	   Output Transition Time: 0
10996:	   Output Transition Time: 0
11007:	   Output Transition Time: 0
11018:	   Output Transition Time: 0
11029:	   Output Transition Time: 0
11039:	   Output Transition Time: 0
11050:	   Output Transition Time: 0
11061:	   Output Transition Time: 0
1107: 	   Output Transition Time: 0
11086:	   Output Transition Time: 0
11097:	   Output Transition Time: 0
11118:	   Output Transition Time: 0
11140:	   Output Transition Time: 0
11154:	   Output Transition Time: 0
11165:	   Output Transition Time: 0
11176:	   Output Transition Time: 0
11187:	   Output Transition Time: 0
11197:	   Output Transition Time: 0
1121: 	   Output Transition Time: 0
11233:	   Output Transition Time: 0
11244:	   Output Transition Time: 0
11255:	   Output Transition Time: 0
11266:	   Output Transition Time: 0
11276:	   Output Transition Time: 0
11287:	   Output Transition Time: 0
11298:	   Output Transition Time: 0
11312:	   Output Transition Time: 0
11323:	   Output Transition Time: 0
1132: 	   Output Transition Time: 0
11334:	   Output Transition Time: 0
11345:	   Output Transition Time: 0
11355:	   Output Transition Time: 0
11366:	   Output Transition Time: 0
11377:	   Output Transition Time: 0
11402:	   Output Transition Time: 0
11424:	   Output Transition Time: 0
11434:	   Output Transition Time: 0
1143: 	   Output Transition Time: 0
11470:	   Output Transition Time: 0
11481:	   Output Transition Time: 0
11492:	   Output Transition Time: 0
11503:	   Output Transition Time: 0
11513:	   Output Transition Time: 0
11524:	   Output Transition Time: 0
11535:	   Output Transition Time: 0
11549:	   Output Transition Time: 0
1154: 	   Output Transition Time: 0
11582:	   Output Transition Time: 0
11628:	   Output Transition Time: 0
11639:	   Output Transition Time: 0
1164: 	   Output Transition Time: 0
11671:	   Output Transition Time: 0
11682:	   Output Transition Time: 0
11693:	   Output Transition Time: 0
116:  	   Output Transition Time: 0
11707:	   Output Transition Time: 0
11718:	   Output Transition Time: 0
11729:	   Output Transition Time: 0
11740:	   Output Transition Time: 0
11750:	   Output Transition Time: 0
11808:	   Output Transition Time: 0
11851:	   Output Transition Time: 0
11876:	   Output Transition Time: 0
